Happy Easter https://t.co/6Be8NYS4Ib
Hi. @WolverineMovie @20thcenturyfox https://t.co/dr95Zx1Nmg
RT @WolverineMovie: Thank you for making #Logan the #1 Movie in the World! https://t.co/yA40y0KzF5
Thanks Mate https://t.co/zNUPYcZOdp
"RT @lovato_pedro: @RealHughJackman Tell you Hugh, ""Logan"" great movie, great actor, bravo!!!!!"
Wow thank you https://t.co/nOnwRnAbmJ
Cool art work Mate https://t.co/Vduxy2T1jc
Thank you! https://t.co/wsmV41Ikwd
Let me know what you think of it. https://t.co/baa3nMqc9q
Sorry not sorry @18Tobeloved https://t.co/Bx5rEwXuSj
Check out #the50things by @peterdunne
"It has been a great honor to work beside you @SirPatStew . So, what's next?! Love HJ https://t.co/N66pw9QSr3"
Really...Guy ... Really?!@VancityReynolds https://t.co/HL0bv16rhC
@mang0ld Director. Writer. Brother. https://t.co/pVrs2OWxlG
Thank you. HJ https://t.co/9UBJ4vwcMM
Thanks for an amazing visit Beijing! @WolverineMovie @20thcenturyfox https://t.co/FsbuNpXMQ1
@Matt_Kops WOW!!! Thanks Matt!
@SBu3me @WolverineMovie cool gif thanks Shane
@AndrewPJS_Here @WolverineMovie thanks Andrew!
@HMSBeardsley thank you Steve
@hunnii_bunz @WolverineMovie wow thank Andrea
@thejuan_mexican thanks so much
@maggymcbee it's been my pleasure
@natushky_ Christmas!
@Rowenaaaaa couldn't be more proud. Thanks for the kind words.
@Kino___26 thanks Mate
@spidey66 @logan @20thcenturyfox wow thanks Bob!
@Tweet_er_pated thanks Malorie
@CiaranHowley thanks Ciaran!
@imakryptonian @SirPatStew I'm seeing this. Thanks Mom!
@JuliaImpossible wow thanks Julia
@thiagoulart with your post - we have succeeded. Thanks Mate
@NicWells89 sorry not sorry! Thanks Mate
@Piech42 @DafneKeen @DafneKeenFans @WolverineMovie agreed. Her future is very bright
@arixiel happy birthday to your sister
@ItsMeTwitt @mang0ld glad you liked it!!!
@01malakt @mang0ld thanks mate
@BlogBitchRepeat awesome!
@__Floriane___  Thank you!!!
@Nick_Boz that's awesome mate! Thanks for posting it. https://t.co/mGSHmzBSYi
To the local artists from DENMARK ... thank you! This is awesome. @mang0ld @Logan @20thcenturyfox https://t.co/YAzLWQKIuq
"In fact, there were no additional shoots after the reshoots of the rewrap. So that's a wrap! Makes sense to me.\u2026 https://t.co/LvPlEGE37q"
RT @VancityReynolds: I have one of these murals on the hood of my car. Best decision ever. https://t.co/wKwhiuCVRT
RT @Zendaya: Just gonna post this again cause today.....is the day.... #Logan @RealHughJackman https://t.co/6FkbzzmhwU
Bahahhahaaa. I can't breathe!!!! @TaronEgerton https://t.co/Y4emvf905a
@WolverineMovie photo shoot with Ben Watts. @20thcenturyfox https://t.co/RxonGFHp0d
@MrkjStream I should be thanking you mate https://t.co/zWbJcVdCDz
@CorySims7 let us know what you think mate https://t.co/ADT5Gs5sHP
@SimonHoneyfield thanks mate! https://t.co/vW9piv2bnH
Glad you enjoyed it! https://t.co/6CThgi4mQK
@resistance0101 great to meet you!
@cchilds thanks Mate https://t.co/I0nnx8c1ZV
@Zach_Mihalik what a ride! Thanks mate
@AJones200292 thanks so much mate
@TheRealRedRobyn @WolverineMovie @waterbending2 enjoy the ride!
@mainbhicoder thanks mate
@Esthermtz_L happy birthday!
@sargentmoses glad you like it!
@shanebunde11 thank for taking the journey with us! https://t.co/VctiIkijAi
@cchilds Thanks Mate! https://t.co/HYHxf1OhwH
@WolverineMovie artists murals popping up around Australia. You're all legend! @20thcenturyfox https://t.co/FzPTKD3EcT
@EW @WolverineMovie @20thcenturyfox photo credit: Ben Watts https://t.co/ekgt5d7bae
"Mate, you're legend! Love you HJ @LievSchreiber https://t.co/tQ5Sg0amGA"
HIS TIME HAS COME. @WolverineMovie  @20thcenturyfox https://t.co/YHPeklad98
Tomorrow. @WolverineMovie @20thcenturyfox https://t.co/AfxMYAxuIL
LOGAN. https://t.co/STlVA0yaSS
This. Happened. Taipei. https://t.co/ccYyTnG05D
RT @RottenTomatoes: #Logan has been #CertifiedFresh at 95% ---&gt; https://t.co/xyIMxFzm5p \U0001f345 #Tomatometer @WolverineMovie @RealHughJackman htt\u2026
Awesome visit to the night market in the Songshan District in Taipei. #StinkyTofu @WolverineMovie @20thcenturyfox https://t.co/1bOVPSTO4C
@pasekandpaul !!! love from Taipei https://t.co/fEVa8nLDcc
TZO AN Taiwan! LON LAI LER! Just arrived here in Taipei and can't wait to see you guys tonight on the red carpet! X\u2026 https://t.co/SCRrr0DUTt
And I managed to shave without anyone noticing! @20thcenturyfox @WolverineMovie https://t.co/n1whQb27nu
Awesome local artist murals popping up all over Australia! @20thcenturyfox @Logan AUSSIE AUSSIE AUSSIE https://t.co/aGZqTu06lB
Happy Break The @WolverineMovie  Diet! @Mariobatali you are legend. @jimmyfallon @20thcenturyfox https://t.co/fuBfrsU9ZL
Tonight on The Tonight Show !!! @jimmyfallon @WolverineMovie @20thcenturyfox https://t.co/JfgF07Gsmb
@michaelstrahan you are a giant. Thank you @GMA @WolverineMovie @20thcenturyfox https://t.co/OZ8RkHlR97
Can the Hydraulic Press crush Adamantium? @WolverineMovie @20thcenturyfox https://t.co/He0GUG1xOP
The thrill of holding a very famous trophy!! @ChampionsLeague @WolverineMovie @20thcenturyfox https://t.co/ScncP3sDNP
It's that good! The Ship. #HisTimeHasCome @WolverineMovie @20thcenturyfox https://t.co/iGXNHVJ9No
See you in NYC @WolverSteve @WolverineMovie @20thcenturyfox https://t.co/kJCHqNGDD1
"Saludos para todos mis fans de M\xe9xico. Lamento no poder visitarlos esta vez, pero los quiero mucho a todos Uds, esp\u2026 https://t.co/GVi8iuYX4k"
Same habit. Different day. @WolverineMovie @20thcenturyfox https://t.co/W26CahyXx0
Behaving as one does whilst walking down the corridor to the next @WolverineMovie @20thcenturyfox LOGAN https://t.co/L4F7p7PFO9
"Obrigado S\xe3o Paulo, obrigado Brasil, feliz carnaval! Sa\xfade! @WolverineMovie @20thcenturyfox https://t.co/zeE2sb42r3"
N\xe3o seja aquilo que te fizeram @WolverineMovie @20thcenturyfox https://t.co/A3izsRx2ek
Feliz Carnaval @WolverineMovie @20thcenturyfox BRASIL https://t.co/pTE9oKYbkd
Vai Brasil! @WolverineMovie @20thcenturyfox https://t.co/EJf5NKGv9g
Estou feliz de estar em S\xe3o Paulo tomando meu primeiro pingado // I'm happy to be in S\xe3o Paulo drinking my first pi\u2026 https://t.co/CT38CRXOXW
Head to https://t.co/bXgi7BLwM6 for an x-ray exploration of Logan's battle scars. @WolverineMovie @20thcenturyfox https://t.co/nQ19lUGmK2
"RT @20thcenturyfox: Six award-winning comic book artists have created custom, limited-edition LOGAN homage posters. Get yours today: https:\u2026"
DANKE! @20thcenturyfox @berlinale @WolverineMovie https://t.co/W84mxgVIMq
An meine Freunde in Deutschland. Herzlichen Dank f\xfcr einen wunderbaren Aufenthalt. Und der Berlinale von Herzen ein\u2026 https://t.co/85qHILSJM4
Thank you my brotha from another motha @VancityReynolds @mang0ld https://t.co/2tKggrtmYj
RT @20thcenturyfox: It\u2019s time. Get your tickets to see #Logan now at https://t.co/QLNtx0T2k4. https://t.co/TagbYykDFz
@WolverineMovie @mang0ld @SirPatStew @berlinale PHOTO CALL. LOGAN. https://t.co/LgagOjWn8E
@berlinale awesome to be here! Danke! @WolverineMovie @SirPatStew @20thcenturyfox https://t.co/cdNXR1hGDk
Exactly one year ago to the day. Sitting in Miami reading the first hard copy of @WolverineMovie @20thcenturyfox https://t.co/H1tA07GzAJ
"Tomorrow, the journey begins. @WolverineMovie @20thcenturyfox @mang0ld https://t.co/eN0jP5V8TD"
I'll give it a go ... https://t.co/bIHxNP92f5
Happy Valentine's Day https://t.co/YN2AHwi0TD
IMAX https://t.co/EeOai9cMcC
peaceful night https://t.co/2mX1fz0suY
"Another basal cell carcinoma. Thanks to frequent checks &amp; amazing doctors, all's well. Looks worse w the dressing o\u2026 https://t.co/cFIi0Zhmtr"
@SuperCaity thanks for an awesome interview. Hi Abigail! @WolverineMovie @20thcenturyfox https://t.co/Uql8XByXIC
Nothing compares to you! #martini https://t.co/eMFkuIOFln
Old friends. @WolverineMovie @SirPatStew @20thcenturyfox https://t.co/VfKTWkXDZ7
For those of us who grew up without snow ... it never gets old. https://t.co/z0los9BiTs
Happy Lantern Festival! Looking forward to bringing LOGAN to Taipei this month. https://t.co/vUwpdvT8Sx
So this is happening.... #snowday https://t.co/ZBFMFL58EW
#donottellmewhattodo https://t.co/tdLXr756ws
You know the drill. LOGAN. 3.3.17 https://t.co/0Ra1A4zzgQ
SPEECHLESS!!!! @SuperBowl
Took this during the first play of the game. What a difference a turnover makes! @SuperBowl @Patriots\u2026 https://t.co/l7fy0Jugci
GRACE. https://t.co/pQ9Sa4Qe55
"""Queenie"" Every day we miss you but also know you're always here. Especially on your birthday. February 5. We love\u2026 https://t.co/frEZZ1QA8C"
THE ORIGINAL. https://t.co/5I9qjQGEsK
A look from the rear view mirror. LOGAN. 3.3.17. https://t.co/NFbJalZQsM
"Summer 1980, with my brother Ralph. And yes, I know my jeans WERE the coolest. #ThrowbackThursday https://t.co/24Jv9jFyYy"
Proud to support Columbia's Cancer Research Programs at the Nearness of You concert. @ColumbiaMed https://t.co/2vSguQcDMk
https://t.co/XG0ynfKyt5
Whomever said that avocado toast is pass\xe9 hasn't tried THIS version. This has been my personal public service annou\u2026 https://t.co/IOAilBhcs2
24 hours in LA. First stop - a hike up Runyon Canyon with the iconic #hollywoodsign in the background. #allbehappy. https://t.co/dw0hJ5Io2i
#FridayFeeling https://t.co/5LWq9Iu97m
"It's there, there!? #ThrowbackThursday #Istanbul https://t.co/5dDvq4BWja"
LOGAN 3.3.17 https://t.co/hUQSetdNjI
Here's an advance look at our LOGAN @empiremagazine cover! On stands Thursday. Hope you like it. @20thcenturyfox\u2026 https://t.co/3zuOJU9mk9
"RT @mang0ld: Official: Please be advised that LOGAN has been rated R for \u201cstrong brutal violence and language throughout, and for brief nud\u2026"
Things aren't always what they seem. https://t.co/ViBTc0nlY5
Someone has come along. https://t.co/IyPD62iVXq
Waiting. https://t.co/KvzQWarq6n
https://t.co/FoS99eXhtV
#wolverinebonddeadpool https://t.co/AjOGdXtElX
"An awesome night in Geneva with Jerome, Violante &amp; the entire team @montblanc_world #mbsihh #montblanc #sp https://t.co/g2Pj9uIeud"
The exact moment when I opened the link to the first draft of LOGAN. https://t.co/E5samRE1em
"RT @mang0ld: Taken w/ LEICA SL 35mm, ISO 1600 1/200 \u01921.4 -- photo by JM https://t.co/T5xUFCQo2g"
Official. https://t.co/px1CErclfL
Frame 1974 of 1974 LOGAN #OneLastTime #Postcard @WolverineMovie @20thcenturyfox https://t.co/AU6sKKQYi4
https://t.co/xSsbwjOhQt
THIS is breakfast?! https://t.co/PDTFBxpFaL
"@mang0ld @Teegzsy so happy, so proud of you Logan! What a fighter. HJ https://t.co/Hb9qPNsnCz"
"RT @mang0ld: Taken w/ SONY 7M2 55mm, ISO 1600 1/40 \u01922 -- by JM https://t.co/EzO9Sgnr4s"
Oh yeah. They did. WIN. @pasekandpaul @goldenglobes @LaLaLand @ZacEfron https://t.co/yGoWr5XPvR
Fight or Flight https://t.co/zpVRFWiyes
https://t.co/ry8DBa6wGS  LOGAN in LEGOS. Classic.
And .... we're back on set at The Greatest Showman. https://t.co/uCrLrrcRQH
Proof. https://t.co/AtQ7vtfx6y
STILL New Year's day..... https://t.co/WXz8WyyryD
Happy New Year! https://t.co/xau9yM32ny
Siesta https://t.co/uoYOZ2jN0J
Keeping my head above water. https://t.co/i812fMIUDP
#allbehappy @livelaughingman @Casey_A22 https://t.co/mYy3bWabeK
You crashed the site. Fixing it now. https://t.co/VElSq8aobU
#OneLastTime https://t.co/OCf55h7wYB https://t.co/IXbhIAox7B
"Lesson #374 &amp; #375 from my Dad: ""Always be a gentleman"" and ""Never, ever kiss and tell."" #ThrowbackThursday https://t.co/06pPl0KFwx"
"An unforgettable experience. The true definition of hospitality. And, who knew our backyard is a fully stocked mark\u2026 https://t.co/qgwJ80BIW5"
What they said .... https://t.co/GmOoWbddf2
Sunset. LOGAN. 3.3.17. https://t.co/nl7mN43Tol
Work in progress on the 405. https://t.co/NIuf2ffdoy
@mang0ld https://t.co/ZLfpJmqJbc
Thank you for the awesome post. It was a life changing trip for me. @livelaughingman #allbehappy https://t.co/6F5ZEvL4Ad
Now that's funny! https://t.co/b0xegIRw4W
Thanks Bradley @livelaughingman #allbehappy https://t.co/28DLNrq1q2
@DearEvanHansen brilliant musical with stellar performances all around https://t.co/upDZed70Cb
Merry Christmas to you and yours... https://t.co/blurnVtXSx
Happy holidays to all! https://t.co/8gnps3cwcZ
One last session before heading home. https://t.co/xja645CKNB
Sydney https://t.co/tuM3w4Nuc7
We can't help it if we're naturals!!! https://t.co/3BOPIRswHf
Paris. #ThrowbackThursday https://t.co/GWsxhutjop
#allbehappy https://t.co/3jWVtG051w
Dinner on the fly. #inandoutburger https://t.co/lkx33x1RWb
Logan. 3.3.17 https://t.co/lTEmu48m3L
Thank you D'Angelos Italian Sausage for making The Greatest Showman cast and crew an awesome feast last night! https://t.co/tQRRI7z5hm
@VanCityReynolds asked me to post this 100% real video by him on being honored with a star on Hollywood's Walk of F\u2026 https://t.co/lzl28riBLq
Photo by @mang0ld https://t.co/tjcc47gCwf
Take 12!!! Literally. https://t.co/dPTQOwLu3r
Monday morning. The Greatest Showman. https://t.co/hxBbP0ns8T
Work in progress. Logan. 3.3.17 https://t.co/NbWo6x5Wrg
@ArianaGrande aside from the fact that you're awesomely talented ... thank you for (unofficially) making me a cool\u2026 https://t.co/tIuijqFsfq
ILLUSION or REAL ?! https://t.co/OJbb8nG76W
Rice. Logan. 3.3.17 https://t.co/z8V7ccpueY
An awesome act of kindness from New York's finest. @NYPDnews @NYPDONeill https://t.co/vHnuGjOKJy
Exposed https://t.co/whW6mjlQn4
In my own defense.. it's been a very long and exhausting 48 hours! https://t.co/wfxRrwOwbE
Please watch this amazing new film from @UNICEF with David Beckham https://t.co/KPitAsvsVg
24 hours in Cali. I'll take it! #nofilterneeded https://t.co/xXVX6jP3IF
Stop w your begging. It's embarrassing even by your lowly standards. @deadpoolmovie @VancityReynolds for the WIN. https://t.co/Nk70gRULnP
Great to bump into you - Kate Woods. Director of Corelli. https://t.co/Ztep2gyJc3
Headed to London for our gap year. December 1986 Sydney Airport with @GusWorland #ThrowbackThursday https://t.co/QZPKYKyToV
Happy birthday @Deborra_lee . I love you with all my heart! https://t.co/CwWs2y0MPB
@MissAmerica1998 awesome artwork though feel it would be better if @VancityReynolds weren't (always) lurking in my\u2026 https://t.co/u3O7OOFAwE
Room. LOGAN. 3.3.17 https://t.co/XSs8dNV71r
3. 2. 1. The Greatest Showman begins. https://t.co/DRjeqwOXSF
@LaLaLand absolutely awesome from beginning to end. Emma &amp; Ryan ... brilliant work!
"A friend told me when you bake them yourself, the calories don't count. That's got to be true, right? https://t.co/hDFBz7oY5w"
Happy Thanksgiving #allbehappy https://t.co/fw5KU64iBE
Happy Thanksgiving one and all. #ThrowbackThursday https://t.co/9mbrYNC2Rc
RT @DeborahKennyHVA: \u201cThe HVA community values teachers as intellectuals\u201d https://t.co/BaTxxHryRN
https://t.co/auEqMPtnJg
Core 4 team dinner meeting appetizers. #lineemup https://t.co/LKnGQkAJpT
Worn. Logan. 3.3.17 https://t.co/YSKOsnYeLq
Good morning New York https://t.co/VxmYVBYQjF
"Acknowledging our friend ... the great and most generous Aussie, Heloise Pratt @FightCancerFdn https://t.co/aqC07rKUmH"
"Don't let the sun fool you ... Baby, it's cold outside! #WeatherMan https://t.co/k9IQHsfOcH"
"A peak at the campaign we shot yesterday. Thank you Jerome, Violante &amp; the entire team @montblanc_world  Always an\u2026 https://t.co/TgMh5YfGlb"
Morning... https://t.co/UUqXuKpGTB
https://t.co/8d9eP7nSYW
"""Courage is being scared to death and - saddling up anyway"". John Wayne #ThrowbackThursday https://t.co/xmj1enatOk"
https://t.co/1AykGLKnOA
Preview. LOGAN. 3.3.17 https://t.co/aMSf4ydCF3
WAIT. What? There's 2 of you?! @VancityReynolds @GQMagazine https://t.co/ZRWEA1sfr1
@ufc @ZacEfron A history lesson https://t.co/iU2k6G3XSa
"Just a ""normal"" Saturday night in NYC!!! @UFCNews fight night @MadisonSqrGdn with the legendary @Madonna https://t.co/SWRzNUXuYc"
One of the best gifts I've ever received is from my Mum. A journal of our favorite recipes from growing up. Here's\u2026 https://t.co/6U3xwDN9js
If only Mate! If only ... https://t.co/UtpgLlpTu3
Four score and seven years ago ....\n#ThrowbackThursday https://t.co/Cu7H38JJqs
TEAM DEB @Deborra_lee https://t.co/x0ItIuPjWT
Mangold. https://t.co/tSrBu40hGO
@ManUpTVSeries exposes a topic often thought to be taboo. Man Up. Speak up.https://t.co/ZoAuprmQ7O via @youtube
SILENCE. Logan 3.3.17 https://t.co/IskO5GMaiJ
Doing my best @jamieoliver impression! https://t.co/9R24WoBjr6
Awesome strength and heart from the good folks of Chile! @ABC https://t.co/JtLWnXXJPW
With @ZacEfron after watching the enormously talented cast of @WaitressMusical . If you get a chance - grab a ticke\u2026 https://t.co/ywg5XN4XuZ
So this happened! @MetOpera https://t.co/GBfd1QHATb
An honor to perform on the stage of the @MetOpera Thank you #youknowwhoyouare https://t.co/QlOjnInBBq
@VancityReynolds you are the wind beneath my wings https://t.co/hvpdxDMDx6
@VancityReynolds Stepping out on me are ya mate. Where has the bromance gone? #gutted https://t.co/WpEtnnpaAI
This is the BEGINNING of the bachelor party. All other photos have been confiscated. #ThrowbackThursday https://t.co/OmhOFl8yyu
Paul Newman you continue to inspire all of us. https://t.co/X7EwwaFmYP @livelaughingman @WorldVisionAus @NewmansOwnFdn
Nothing like a (very) crisp Fall NY morning. #allbehappy https://t.co/61vkuslF3X
I'M IN!!!!! https://t.co/AZWLZpC9hh
https://t.co/vQwAUT8oPd
Sorry I missed the party. Hope you had an awesome day https://t.co/DzXa15gTTC
RT @ZeeNews: #Logan trailer : You simply can't afford to miss @RealHughJackman's final portrayal of Wolverine \nhttps://t.co/TllX64iKAg http\u2026
Yup @VancityReynolds and I are twins too! https://t.co/nEixM4Qg31
Looking good mate https://t.co/MrUuWgme7k
Exhausted just looking at this! https://t.co/SkFib7WCl6
Awesome workmanship Mate https://t.co/JUpoFJwDbT
awesome job Logan Davis! https://t.co/sXaf4iaTk2
Coming in nicely mate https://t.co/3eyeE0mxYi
When @VancityReynolds mask is on I actually have a shot. https://t.co/y63yFpb5tm
Tell them Flat White on HJ! @livelaughingman https://t.co/hH00SjaLCc
Thanks Mate https://t.co/x62zZnSMJc
360 DEGREES OF SENSATIONAL! https://t.co/ANtdO8uFsF
Manchester by the Sea - amazing and very intense film. Beautifully acted by all. Michelle Williams is\nastonishing.
It's not even March 3rd and already they're coming for my job! https://t.co/0DU3rqMEy4
"RT @VancityReynolds: ""Sunday In The Park With George"". Jake Gyllenhaal gives one of the most beautiful performances I've ever seen on stage."
Hey @VancityReynolds - got you something for your birthday I know you're really going to like. Cue the music!\u2026 https://t.co/aSdx1btJSI
Better late than never!! @ZacEfron happy birthday mate. https://t.co/71KFpflTrO
Laura. Photo by @mang0ld https://t.co/ytvekngfaq
My wife - smokin' hot in every photo ... And then - there's me https://t.co/bMKrCOIgjX
FRIDAY. https://t.co/u17bUXcYVM
Really ... All out of options? https://t.co/pWQCyt4Fkv
https://t.co/pYWPS29v1U
TOMORROW https://t.co/AIDSK0in1J
"RT @mang0ld: Taken w/ Leica SL, Noctilux 50mm, ISO 1600 1/1000 \u01921.7 -- by JM https://t.co/Rz4MUyctqq"
Caliban https://t.co/s0HQPsCB4X
Help @WorldVisionAus fight slum fires and save lives with this innovative device. Here's how to vote\u2026 https://t.co/i9U2wjzqun
62 https://t.co/yo2i6MPu9S
Episode 2 @ManUpTVSeries tonight in Australia @ABCTV https://t.co/G1QEGjC5AO
Hindu Wedding Ceremony for our friends Nadine &amp; Romesh. May you experience a lifetime of happiness together. https://t.co/xTo7xm4EtS
SUNSEEKER. LOGAN. 3.3.17. https://t.co/e0pnrKv7WV
Back in a bit .... https://t.co/p5eFDyi2dH
MUTANTS https://t.co/kPwOqs7n1e
FRIDAY! https://t.co/RZFFL7m68H
Spectacular star-gazing. Reminds of being in the outback https://t.co/AFc6qPBag5
Yes my life is complete @TimTam_US in NYC. I'm IN! @livelaughingman #youknowwhoyouare https://t.co/faLD5O250J
@ZacEfron ... the claws fit well! https://t.co/gg5Tu2zMhe
THANK YOU for all the love and birthday wishes! https://t.co/uHOaUH69EN
Birthday breakfast calories don't count!!! I read that somewhere so ... it must be true! https://t.co/N7Qy9GO4mi
#allbehappy https://t.co/NVyYqxbRRG
Smelting plant. LOGAN https://t.co/GyR6xuhK8d
Goodnight moon https://t.co/HxnbBdCO8G
Ticktock Ticktock https://t.co/iRg5aqoTCy
Yes!! Awesome show @Beyonce #TheFormationWorldTour https://t.co/ZTYWTXHmY4
There is only one Queen! @Beyonce #TheFormationWorldTour https://t.co/omQuBiReFt
BIN #28 LOGAN @penfolds https://t.co/kk0FYj6zYD
W my amazing theatre date Pat Schoenfeld. Battlefield at BAM a once in a lifetime experience. As good the Q&amp;A w the\u2026 https://t.co/It9LAhMz9Y
Old friend. https://t.co/Bopqbfiylg
Corner of Bleecker &amp; Lafayette https://t.co/jlHpYoy2BJ
LOGAN https://t.co/IeIvcvFyTE
Larry David you make me howl! https://t.co/q8VMFVLTdt
Thanks @nyjets for an awesome day! And for allowing 3 man-boys hang on your field. @ZacEfron @GusWorland https://t.co/9GBMQdyDKc
Hey Jackson How awesome are your friends escorting you to your first day! #AmarilloTexasStrong HJ @Upworthy https://t.co/l7KlmQOZI5
One more post from the MPTF 95th Anniversary celebration. With Clooney and the legendary Michael Douglas https://t.co/bfS6lMXewd
And they said it wouldn't last! Happy 2nd Anniversary George &amp; Amal https://t.co/VUFstSJu0o
Rehearsing for tonight's MPTF 95th Anniversary celebration. Here's hoping it's a LOT cooler! #lesmismedley https://t.co/DiK7HCtvG7
Happy National Coffee Day (full disclosure - I didn't know there was such a day but I like it nonetheless!) @livelaughingman #allbehappy
Vodka + Fresh Grapefruit + Soda-water + Limes = Greyhound. #lovinglife https://t.co/T44LTmToNH
I'm #PlayingLynch for the @LynchFoundation Who's with me? https://t.co/UVlIoxHy1I
Dad took us to see Max at the RSL in Hornsby Still one of the funniest nights of my life Max Walker a true Aussie legend. You will be missed
G'night https://t.co/4W6xrQlsul
#dogpoundworkout https://t.co/aRZ1qV27kv
Loved dancing with you @priyankachopra ! https://t.co/6foVOlEcGt
Thank you to all the amazing men and women who worked tirelessly to make @GlblCtzn Festival run so smoothly! https://t.co/Ojtm4KshOS
Yes. Please! @rihanna   ... VENT!! @GlblCtzn GlblCtzn https://t.co/0Tz2XOMGjj
Always an awesome festival! 5 years and counting. @Hughcevans and the ENTIRE TEAM @GlblCtzn thank you. You are the\u2026 https://t.co/amRE0Wbq8Z
We've got @GlblCtzn covered from all sides!!! @Hughcevans \u2b55\ufe0f https://t.co/gQ5W2IudUR
@UNICEF They're #childrenfirst. https://t.co/vdn9uYZ63A
